product_id,title,description,tags,price,sizes,image_paths,source_url,store
fs_000,Two Chances Jewellery Aurora Earrings,,,9,One Size,/data/flyingsolo/images/000_0_header_logo.png|/data/flyingsolo/images/000_1_header_logo.png|/data/flyingsolo/images/000_2_Flying_Solo_logo.png|/data/flyingsolo/images/000_3_Two-Chances-Jewellery-Photoroom_20250703_093843-800x1067.jpg,https://flyingsolo.nyc/product/two-chances-jewellery-aurora-earrings/,Flying Solo NYC
fs_001,LONA STUDIOS Purple Amethyst Necklace,,,9,One Size,/data/flyingsolo/images/001_0_header_logo.png|/data/flyingsolo/images/001_1_header_logo.png|/data/flyingsolo/images/001_2_Flying_Solo_logo.png|/data/flyingsolo/images/001_3_Lona-Studios-7-800x1067.jpg,https://flyingsolo.nyc/product/lona-studios-purple-amethyst-necklace/,Flying Solo NYC
fs_002,MOODY GRAY Tahitian Lei Bracelet,,,9,One Size,/data/flyingsolo/images/002_0_header_logo.png|/data/flyingsolo/images/002_1_header_logo.png|/data/flyingsolo/images/002_2_Flying_Solo_logo.png|/data/flyingsolo/images/002_3_Global-Island-Treasures-Tahitian-Lei-Bracelet-with-ICON%E2%80%94NYC-2160-x-2880-px-portrait-800x1067.png,https://flyingsolo.nyc/product/moody-gray-tahitian-lei-bracelet/,Flying Solo NYC
fs_003,Scent Of Africa Hagé Eau De Parfum 100 ML,,,9,One Size,/data/flyingsolo/images/003_0_header_logo.png|/data/flyingsolo/images/003_1_header_logo.png|/data/flyingsolo/images/003_2_Flying_Solo_logo.png|/data/flyingsolo/images/003_3_Scent-of-Africa-SOA-HAGE-BOTTLE-100ML1-scaled-e1751328031814-1-800x1067.jpg,https://flyingsolo.nyc/product/scent-of-africa-hage-eau-de-parfum-100-ml/,Flying Solo NYC
fs_004,Les Soeurs de Noé RED BERRIES ELIXIR sample,,,9,One Size,/data/flyingsolo/images/004_0_header_logo.png|/data/flyingsolo/images/004_1_header_logo.png|/data/flyingsolo/images/004_2_Flying_Solo_logo.png|/data/flyingsolo/images/004_3_Les-Soeurs-de-Noe-red-berries-2ml-scaled-e1734979466751-1-800x1067.jpg,https://flyingsolo.nyc/product/les-soeurs-de-noe-red-berries-elixir-sample/,Flying Solo NYC
fs_005,ASCO Pink Mini Crossbody,,,9,One Size,/data/flyingsolo/images/005_0_header_logo.png|/data/flyingsolo/images/005_1_header_logo.png|/data/flyingsolo/images/005_2_Flying_Solo_logo.png|/data/flyingsolo/images/005_3_ASCO-Site-new-York-Anciennes-Co3.3-scaled-1-800x1067.jpg,https://flyingsolo.nyc/product/asco-pink-mini-crossbody/,Flying Solo NYC
fs_006,"Modern Natured GEN COLL: E-choke, Black",,,9,One Size,/data/flyingsolo/images/006_0_header_logo.png|/data/flyingsolo/images/006_1_header_logo.png|/data/flyingsolo/images/006_2_Flying_Solo_logo.png|/data/flyingsolo/images/006_3_Screenshot-2022-10-20-4.43.08-PM-e1721298935320-1-800x1067.png,https://flyingsolo.nyc/product/modern-natured-gen-coll-e-choke-black/,Flying Solo NYC
fs_007,INFILTRATOR Strawberry Hat,,,9,One Size,/data/flyingsolo/images/007_0_header_logo.png|/data/flyingsolo/images/007_1_header_logo.png|/data/flyingsolo/images/007_2_Flying_Solo_logo.png|/data/flyingsolo/images/007_3_INFILTRATOR-Strawberry-1-scaled-1-800x1067.jpg,https://flyingsolo.nyc/product/infiltrator-strawberry-hat/,Flying Solo NYC
fs_008,Les Soeurs De Noe Parfum Cuir Noir Black Edition 100 Ml,,,9,One Size,/data/flyingsolo/images/008_0_header_logo.png|/data/flyingsolo/images/008_1_header_logo.png|/data/flyingsolo/images/008_2_Flying_Solo_logo.png|/data/flyingsolo/images/008_3_Les-Soeurs-de-Noe-Cuir-Noir-Black-Edition-scaled-e1751325668113-1-800x1067.jpg,https://flyingsolo.nyc/product/les-soeurs-de-noe-parfum-cuir-noir-black-edition-100-ml/,Flying Solo NYC
fs_009,Elfeya Cosmetics Skincare,,,9,One Size,/data/flyingsolo/images/009_0_header_logo.png|/data/flyingsolo/images/009_1_header_logo.png|/data/flyingsolo/images/009_2_Flying_Solo_logo.png|/data/flyingsolo/images/009_3_Elfeya-Cosmetics-age-reverse-scaled-1-800x1067.jpg,https://flyingsolo.nyc/product/elfeya-cosmetics-skincare-4/,Flying Solo NYC
